"","geography","periodicity","seasonadj","geo_level","ind_level","industry","ownercode","sex","agegrp","race","ethnicity","education","firmage","firmsize","year","quarter","Emp","EmpEnd","EmpS","EmpTotal","EmpSpv","HirA","HirN","HirR","Sep","HirAEnd","SepBeg","HirAEndRepl","HirAEndR","SepBegR","HirAEndReplR","HirAS","HirNS","SepS","SepSnx","TurnOvrS","FrmJbGn","FrmJbLs","FrmJbC","FrmJbGnS","FrmJbLsS","FrmJbCS","EarnS","EarnBeg","EarnHirAS","EarnHirNS","EarnSepS","Payroll","state","Open.State.MOU","Abbr","Name","Ag..Abbr","Ag..Name","Option","Version"
"2",1,"Q","U","S","S","11","A00",0,"A00","A0","A0","E0",0,0,2014,1,11312,11280,9880,13155,9991,1843,1497,346,1875,1400,1432,598,0.124,0.127,0.053,718,570,829,869,0.08,802,810,-8,420,538,-118,2939,2724,2128,2190,2196,97030309,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"3",1,"Q","U","S","S","21","A00",0,"A00","A0","A0","E0",0,0,2014,1,7196,7170,6762,7697,6810,502,410,92,528,408,434,232,0.057,0.06,0.032,316,289,364,310,0.046,176,205,-29,151,211,-60,6428,6191,4615,4608,4791,143150880,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"4",1,"Q","U","S","S","22","A00",0,"A00","A0","A0","E0",0,0,2014,1,20408,20957,19790,21935,19925,1526,437,1089,978,1167,618,423,0.056,0.03,0.02,427,400,561,487,0.023,744,295,449,156,305,-148,6812,6732,4704,4716,6816,444790079,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"5",1,"Q","U","S","S","23","A00",0,"A00","A0","A0","E0",0,0,2014,1,75086,77295,65182,93365,65944,18279,15653,2626,16070,12113,9904,5182,0.159,0.13,0.068,5839,4821,6600,6928,0.098,6931,4699,2232,3184,3893,-708,3700,3413,2943,2921,2907,855027651,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"6",1,"Q","U","S","S","31-33","A00",0,"A00","A0","A0","E0",0,0,2014,1,253629,254110,236688,275949,237859,22320,19918,2402,21839,17422,16941,10533,0.069,0.067,0.041,12104,11269,13275,14121,0.055,6889,6352,537,4743,5775,-1032,4360,4176,2776,2797,3331,3241422209,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"7",1,"Q","U","S","S","42","A00",0,"A00","A0","A0","E0",0,0,2014,1,71601,72513,66811,78498,67052,6897,6331,566,5985,5702,4790,2605,0.079,0.066,0.036,3588,3358,3830,4187,0.058,3097,2143,954,1789,2038,-249,4687,4504,3013,3021,3378,1015384212,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"8",1,"Q","U","S","S","44-45","A00",0,"A00","A0","A0","E0",0,0,2014,1,226510,221350,195162,259908,191558,33398,30685,2713,38558,26188,31348,17683,0.117,0.14,0.079,22543,21303,18939,22510,0.115,8505,13653,-5148,8866,5228,3638,2289,2055,1260,1261,1403,1434049856,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"9",1,"Q","U","S","S","48-49","A00",0,"A00","A0","A0","E0",0,0,2014,1,58185,58037,51936,66238,51619,8054,7052,1002,8202,6101,6249,3616,0.105,0.108,0.062,4341,3918,4024,4709,0.087,2485,2645,-160,1898,1598,300,3473,3226,2422,2465,2608,593274596,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"10",1,"Q","U","S","S","51","A00",0,"A00","A0","A0","E0",0,0,2014,1,23426,23324,21720,25467,21730,2041,1606,435,2142,1604,1706,911,0.069,0.073,0.039,1387,1316,1397,1593,0.069,693,766,-73,615,619,-3,4556,4353,2594,2618,3040,310721862,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"11",1,"Q","U","S","S","52","A00",0,"A00","A0","A0","E0",0,0,2014,1,72215,72319,67913,77995,67727,5780,4830,950,5676,4406,4302,2249,0.061,0.06,0.031,3631,3513,3445,3466,0.052,2157,2043,114,1797,1616,181,5284,5083,3424,3432,3645,1119821987,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"12",1,"Q","U","S","S","53","A00",0,"A00","A0","A0","E0",0,0,2014,1,22849,23162,20776,25636,20955,2787,2574,213,2474,2386,2073,1192,0.104,0.09,0.052,1486,1413,1665,1809,0.079,1194,898,296,815,993,-178,3287,3112,2405,2428,2472,221277948,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"13",1,"Q","U","S","S","54","A00",0,"A00","A0","A0","E0",0,0,2014,1,93188,95962,87050,104681,86096,11493,9535,1957,8719,8912,6138,3138,0.094,0.065,0.033,5907,4733,4953,6866,0.073,5774,3053,2721,3911,2902,1010,5498,5288,3590,4044,3695,1556204636,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"14",1,"Q","U","S","S","55","A00",0,"A00","A0","A0","E0",0,0,2014,1,16285,16299,14922,18031,14913,1746,1591,155,1732,1377,1363,931,0.085,0.084,0.057,1037,978,1028,1086,0.071,446,438,8,347,353,-7,4649,4402,2515,2522,3053,223821111,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"15",1,"Q","U","S","S","56","A00",0,"A00","A0","A0","E0",0,0,2014,1,106247,108603,81152,149971,81410,43723,39964,3759,41367,27451,25095,19807,0.256,0.234,0.184,13653,12555,13911,15545,0.18,7644,5349,2295,3972,4179,-207,2307,1937,1663,1696,1656,707931408,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"16",1,"Q","U","S","S","61","A00",0,"A00","A0","A0","E0",0,0,2014,1,163673,165634,157680,173470,151591,9797,7451,2346,7836,7954,5993,4694,0.048,0.036,0.029,10045,5656,3956,10915,0.066,3260,1205,2056,6550,472,6077,3273,3189,936,1225,1260,1592237990,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"17",1,"Q","U","S","S","62","A00",0,"A00","A0","A0","E0",0,0,2014,1,240350,241267,222455,263296,221541,22946,20915,2030,22029,18812,17895,12658,0.078,0.074,0.053,15081,13981,14167,15897,0.07,6154,5218,937,5923,4957,966,3332,3168,2189,2227,2183,2388614948,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"18",1,"Q","U","S","S","71","A00",0,"A00","A0","A0","E0",0,0,2014,1,17023,17501,14980,20168,14368,3145,2654,491,2667,2521,2043,1348,0.146,0.118,0.078,1987,1723,1375,1956,0.132,1173,649,523,1125,575,550,1760,1615,1216,1318,1036,87893887,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
"19",1,"Q","U","S","S","72","A00",0,"A00","A0","A0","E0",0,0,2014,1,159593,165168,129295,209391,129665,49797,46370,3427,44222,35873,30298,24581,0.221,0.187,0.151,18664,17410,19033,22474,0.159,11292,5598,5694,5909,6288,-379,1370,1197,957,959,982,630696678,"AL",NA,"AL","Alabama","ALDIR","Alabama Department of Industrial Relations","B",2
